NestID,Pieces,Beams,Stock_mm,Cut_mm,Waste_mm,Waste_pct
7865,2,1,6000,4700,1300,21.67
7868,8,1,6000,3467,2533,42.22
7869,4,1,6000,1897,4103,68.38
7870,12,1,6000,5016,984,16.40
7871,5,1,6000,2324,3676,61.27
7872,7,1,6000,3151,2849,47.48
7873,10,1,6000,4728,1272,21.20
7874,11,1,6000,5287,713,11.88
7875,7,1,6000,3626,2374,39.57
7876,10,1,6000,4936,1064,17.73
7877,8,1,6000,3944,2056,34.27
7878,10,1,6000,4930,1070,17.83
7879,5,1,6000,2465,3535,58.92
7880,12,1,6000,5916,84,1.40
7881,6,1,6000,2953,3047,50.78
7882,10,1,6000,4920,1080,18.00
7883,10,1,6000,4909,1091,18.18
7884,8,1,6000,3781,2219,36.98
7885,2,1,6000,836,5164,86.07
7886,6,1,6000,1919,4081,68.02
7887,15,1,8000,6266,1734,21.68
7888,7,1,8000,6388,1612,20.15
7889,8,1,8000,6411,1589,19.86
7890,5,1,8000,6267,1733,21.66
7891,19,1,8000,8000,0,0.00
7892,10,1,6000,5440,560,9.33
7893,9,1,8000,7038,962,12.03
7894,10,1,8000,8000,0,0.00
7895,3,1,6000,2598,3402,56.70
7896,2,1,6000,4336,1664,27.73
7897,3,1,8000,6520,1480,18.50
7898,2,1,6000,3155,2845,47.42
7899,1,1,6000,2236,3764,62.73
7900,4,1,8000,6512,1488,18.60
7901,2,1,6000,5154,846,14.10
7902,4,1,8000,8000,0,0.00
7903,2,1,6000,4432,1568,26.13
7904,4,1,8000,7996,4,0.05
7905,3,1,6000,5332,668,11.13
7906,1,1,6000,2845,3155,52.58
7907,1,1,6000,2845,3155,52.58
7908,3,1,8000,7983,17,0.21
7909,3,1,8000,7980,20,0.25
7910,2,1,6000,5320,680,11.33
7912,1,1,6000,2660,3340,55.67
7913,3,1,8000,7980,20,0.25
7914,3,1,8000,7980,20,0.25
7915,3,1,8000,7980,20,0.25
7916,3,1,8000,7977,23,0.29
7917,3,1,6000,5385,615,10.25
7918,3,1,8000,7968,32,0.40
7919,3,1,8000,7929,71,0.89
7920,1,1,6000,2232,3768,62.80
7921,1,1,6000,2221,3779,62.98
7922,2,1,6000,5312,688,11.47
7923,1,1,6000,2169,3831,63.85
7925,1,1,6000,2585,3415,56.92
7926,3,1,8000,7755,245,3.06
7927,2,1,6000,4909,1091,18.18
7929,2,1,6000,5684,316,5.27
7930,2,1,6000,5427,573,9.55
7932,10,1,6000,4293,1707,28.45
7933,11,1,8000,8000,0,0.00
7934,13,1,8000,6332,1668,20.85
7935,9,1,8000,7277,723,9.04
7936,5,1,6000,5340,660,11.00
7937,5,1,8000,8000,0,0.00
7938,6,1,8000,8000,0,0.00
7939,4,1,8000,8000,0,0.00
7941,3,1,8000,7970,30,0.38
7942,1,1,6000,2279,3721,62.02
7943,2,1,6000,5400,600,10.00
7944,2,1,6000,5781,219,3.65
7945,3,1,8000,7913,87,1.09
7946,2,1,8000,7880,120,1.50
7947,2,1,8000,7721,279,3.49
7948,3,1,8000,7629,371,4.64
7949,2,1,8000,7410,590,7.38
7950,2,1,8000,6380,1620,20.25
7952,6,1,6000,2425,3575,59.58
7953,3,1,6000,2116,3884,64.73
7954,5,1,8000,7680,320,4.00
7955,9,2,12000,10341,1659,13.83
7956,2,1,6000,1290,4710,78.50
7957,3,1,6000,5971,29,0.48
7958,4,2,12000,10960,1040,8.67
7959,4,2,12000,10960,1040,8.67
7960,4,2,12000,10960,1040,8.67
7961,4,2,12000,10944,1056,8.80
7962,2,1,6000,5004,996,16.60
7963,6,1,6000,3417,2583,43.05
7964,6,1,6000,2429,3571,59.52
7965,13,1,13000,13000,0,0.00
7966,10,1,13000,13000,0,0.00
7967,3,1,8000,7980,20,0.25
7968,5,2,12000,10765,1235,10.29
7969,5,1,13000,12976,24,0.18
7970,6,1,13000,12557,443,3.41
7971,1,1,6000,2656,3344,55.73

GRAND,,,728000,585948,142052,19.51
